,response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7,context/8
80,Muggles?,Come on!,"It's the same every year, packed with Muggles, Of course. ","9 3/4? Think you're being funny, do ya?","Excuse me Sir, Can you tell me where I might find platform 9 3/4?",Right on your left Madam.,Excuse me. Excuse me.,Sorry.,"There's no such thing, is there?",This says platform 9 3/4.,"But, Hagrid, there must be a mistake."
81,Excuse me.,I'm only joking. I am Fred.,"Oh, I'm sorry, George.","Honestly, woman, you call yourself our mother?","He's not Fred, I am.","Fred, you next.","All right, Percy, you first.","Platform 9 3/4, this way.",Muggles?,Come on!,"It's the same every year, packed with Muggles, Of course. "
82,Could you tell me how to...?,Excuse me.,I'm only joking. I am Fred.,"Oh, I'm sorry, George.","Honestly, woman, you call yourself our mother?","He's not Fred, I am.","Fred, you next.","All right, Percy, you first.","Platform 9 3/4, this way.",Muggles?,Come on!
83,No. Not at all.,Everywhere else is full.,Excuse me. Do you mind?,Good luck.,Best do it at a bit of a run if you're nervous.,All you've got do is walk straight at the wall between platforms 9 and 10.,It's Ron's first time to Hogwarts as well.,"Not to worry, dear.",How to get onto the platform?,Could you tell me how to...?,Excuse me.
84,I'm HARRY. HARRY Potter.,Ron Weasley.,"I'm Ron, by the way.",No. Not at all.,Everywhere else is full.,Excuse me. Do you mind?,Good luck.,Best do it at a bit of a run if you're nervous.,All you've got do is walk straight at the wall between platforms 9 and 10.,It's Ron's first time to Hogwarts as well.,"Not to worry, dear."
85,The what?,"I mean, do you really have the...?",So it's true!,I'm HARRY. HARRY Potter.,Ron Weasley.,"I'm Ron, by the way.",No. Not at all.,Everywhere else is full.,Excuse me. Do you mind?,Good luck.,Best do it at a bit of a run if you're nervous.
86,We'll take the lot.,"No, thanks. I'm all set.","Anything off the trolley, dears?",Wicked!,The scar?,The what?,"I mean, do you really have the...?",So it's true!,I'm HARRY. HARRY Potter.,Ron Weasley.,"I'm Ron, by the way."
87,Bertie Bott's Every Flavor Beans?,We'll take the lot.,"No, thanks. I'm all set.","Anything off the trolley, dears?",Wicked!,The scar?,The what?,"I mean, do you really have the...?",So it's true!,I'm HARRY. HARRY Potter.,Ron Weasley.
88,"These aren't real frogs, are they?",George sweared he got a bogey-flavoured one once!,"There's chocolate and peppermint and there's also spinach, liver and tripe.",They mean every flavor.,Bertie Bott's Every Flavor Beans?,We'll take the lot.,"No, thanks. I'm all set.","Anything off the trolley, dears?",Wicked!,The scar?,The what?
89,I've got Dumbledore!,They've only got one good jump in them to begin with.,"Oh, that's rotten luck.",Watch it!,I've got about 500 myself.,Each pack's got a famous witch or wizard.,"Besides, It's the cards you want.",It's just a spell.,"These aren't real frogs, are they?",George sweared he got a bogey-flavoured one once!,"There's chocolate and peppermint and there's also spinach, liver and tripe."
90,"Hey, he's gone!",I got about six of him.,I've got Dumbledore!,They've only got one good jump in them to begin with.,"Oh, that's rotten luck.",Watch it!,I've got about 500 myself.,Each pack's got a famous witch or wizard.,"Besides, It's the cards you want.",It's just a spell.,"These aren't real frogs, are they?"
91,Just a little bit.,"Pathetic, isn't he?","This is Scabbers, by the way.","Well, you can't expect him to hang around all day, can you?","Hey, he's gone!",I got about six of him.,I've got Dumbledore!,They've only got one good jump in them to begin with.,"Oh, that's rotten luck.",Watch it!,I've got about 500 myself.
92,Yeah.,Want to see?,Fred gave me a spell as to turn him yellow.,Just a little bit.,"Pathetic, isn't he?","This is Scabbers, by the way.","Well, you can't expect him to hang around all day, can you?","Hey, he's gone!",I got about six of him.,I've got Dumbledore!,They've only got one good jump in them to begin with.
93,"Hey, Hagrid.","Hello, HARRY.","Come on now, hurry up.","Come on, now, first years, don't be shy.","First years, this way, please!","Right, then.",Just there.,Did you know?,"You've got dirt on your nose, by the way.",I expect we'll be arriving soon.,You two better change into robes.
94,"I think I can tell the wrong sort for myself, thanks.",I can help you there.,You don't want to go making friends with the wrong sort.,"We'll soon find out that some wizarding families are better than others, Potter.",You must be a Weasley.,Red hair and a hand-me-down robe?,I've no need to ask yours.,"Think my name's funny, do you?",Draco Malfoy.,And I'm Malfoy.,"This is Crabbe, and Goyle."
